place,number,rate,park,nightlife,children,nature,sports,historic,art_science,aquatic,shows,adventure
o-fallon-mo,2236,4.49,28.79,18.4,118.49,81.91,54.44,121.5,106.13,3.0,67.74,38.27
oak-lawn-il,7954,4.61,58.4,85.77,99.82,91.27,138.43,233.87,293.5,33.45,316.69,24.42
oak-park-il,7797,4.61,61.4,86.96,99.39,84.76,137.11,254.63,293.27,31.13,311.06,33.86
oakland-ca,2438,4.43,44.84,49.73,74.82,69.82,41.28,156.98,189.12,15.92,120.66,42.81
ocala-fl,570,4.17,51.9,1.0,42.41,97.2,46.7,67.75,27.33,38.5,20.91,17.15
oceanside-ca,2551,4.42,49.04,5.32,113.34,78.54,47.84,119.29,83.79,72.2,114.11,30.28
odessa-tx,167,3.92,8.64,0.0,11.49,31.55,21.24,32.15,37.51,0.0,11.75,9.04
ogden-ut,822,4.18,55.75,0.0,48.01,77.72,48.82,60.95,66.49,12.17,28.14,6.17
oklahoma-city-ok,587,4.22,23.21,12.43,52.66,41.02,16.49,176.23,86.42,6.17,5.0,23.66
olathe-ks,2088,4.33,37.87,40.38,94.16,45.99,65.04,179.2,118.17,12.97,94.81,15.87
omaha-ne,960,4.2,38.57,12.34,57.9,32.99,41.86,76.17,82.82,5.17,40.54,21.1
ontario-ca,4553,4.54,93.12,13.2,133.11,74.71,91.1,173.52,155.32,33.66,165.51,45.28
orange-ca,4912,4.49,105.63,28.41,108.2,86.52,67.05,195.87,188.57,49.74,150.55,40.27
orem-ut,906,4.15,51.16,0.0,48.75,95.1,69.84,72.26,47.32,11.58,28.14,13.91
orland-park-il,6593,4.55,67.38,98.17,105.95,88.88,119.27,284.17,312.25,34.04,298.2,24.88
orlando-fl,3644,4.36,80.1,30.58,219.71,96.03,64.7,124.52,75.36,60.17,66.03,66.66
oshkosh-wi,624,4.15,54.12,0.0,60.81,50.4,26.64,35.89,33.0,21.14,34.8,15.16
