place,number,rate,park,nightlife,children,nature,sports,historic,art_science,aquatic,shows,adventure
torrance-ca,8828,4.59,97.58,68.66,164.81,90.33,100.15,266.57,275.78,49.15,254.01,55.26
town-n-country-fl,2492,4.41,70.17,27.7,95.25,54.0,97.49,131.81,122.18,57.49,144.71,25.64
towson-md,3336,4.49,95.36,63.58,56.16,105.25,104.27,233.89,124.18,39.1,40.98,26.84
tracy-ca,1014,4.37,49.9,0.0,45.1,100.71,39.64,133.64,64.93,15.34,4.0,17.48
trenton-nj,1969,4.41,77.26,19.61,123.89,53.95,32.86,200.66,93.68,14.9,54.16,40.29
troy-mi,3894,4.44,70.85,62.28,96.35,90.58,145.67,203.38,203.74,12.99,207.97,46.71
troy-ny,1205,4.2,34.24,1.0,25.28,50.61,46.57,122.17,70.48,16.04,75.64,17.53
tucson-az,722,4.12,7.58,3.17,57.59,43.57,24.47,110.16,102.95,0.0,20.68,54.84
tulare-ca,140,4.14,12.73,0.0,25.29,62.84,17.6,23.49,16.97,5.17,11.67,7.23
turlock-ca,521,4.38,24.73,0.0,39.42,78.22,29.77,50.82,33.96,10.75,18.0,1.0
tuscaloosa-al,423,4.32,20.99,2.0,22.52,48.83,36.68,71.51,48.12,9.58,1.58,5.0
tustin-ca,5443,4.51,97.08,17.01,112.9,105.63,75.08,227.19,200.49,64.0,138.52,67.25
tyler-tx,221,4.18,19.06,0.0,16.6,34.56,8.44,21.76,5.17,11.72,0.0,6.98
union-city-nj,7324,4.6,84.39,100.61,102.87,67.35,135.26,240.3,243.73,32.3,278.27,32.01
utica-ny,222,4.17,22.9,3.32,12.86,41.65,39.94,57.84,11.75,19.88,13.57,13.24
vacaville-ca,1353,4.22,29.98,16.04,73.16,100.02,33.55,153.78,92.76,20.12,56.23,16.42
valdosta-ga,242,4.03,10.64,0.0,51.8,71.02,18.31,52.63,10.34,8.98,0.0,5.0
vallejo-ca,3116,4.38,39.9,54.49,130.45,86.52,43.1,224.2,224.58,18.97,102.75,59.53
vancouver-wa,990,4.31,23.95,36.71,52.43,57.99,9.69,108.53,70.79,10.32,47.5,50.01
victoria-tx,245,4.02,16.61,0.0,48.4,49.37,9.91,29.06,10.23,19.03,0.0,15.14
victorville-ca,852,4.19,56.68,0.0,27.89,61.61,74.07,72.21,38.03,20.73,28.76,42.37
vineland-nj,1750,4.51,77.89,2.0,63.82,64.22,57.8,122.47,44.11,31.96,26.09,29.58
virginia-beach-va,979,4.23,36.9,4.17,89.99,77.01,23.5,155.55,74.06,41.27,8.16,10.49
visalia-ca,198,4.06,16.54,8.34,26.88,73.65,16.02,28.71,27.08,5.17,11.67,11.04
vista-ca,2440,4.45,43.5,7.32,118.99,72.26,52.58,86.66,74.45,76.75,109.92,27.53
waco-tx,253,3.96,28.6,0.0,29.64,75.79,22.48,65.86,24.46,10.72,0.0,14.82
waltham-ma,3835,4.32,53.9,45.68,81.12,92.94,68.87,208.4,178.82,23.81,81.24,40.08
warner-robins-ga,544,4.33,46.19,0.0,52.76,90.01,26.63,120.67,58.51,3.17,0.0,12.07
warren-mi,3836,4.45,65.15,57.32,82.06,75.9,128.73,220.33,193.87,3.58,238.79,40.07
warwick-ri,1689,4.15,60.43,19.56,52.33,112.49,54.57,238.03,90.54,38.23,69.67,48.43
watsonville-ca,1851,4.37,78.96,26.05,72.74,123.71,66.96,137.56,120.12,36.22,26.45,24.37
waukegan-il,3136,4.49,98.06,13.95,92.38,108.78,84.98,138.44,132.63,39.25,97.02,42.03
waukesha-wi,4057,4.5,72.25,20.96,69.2,82.69,90.78,98.87,164.61,38.22,120.75,19.86
wellington-fl,1039,4.15,75.16,8.34,86.93,89.45,41.5,86.97,85.53,54.45,9.34,3.91
west-allis-wi,3949,4.51,81.24,14.94,69.2,98.87,89.46,97.95,137.63,39.22,77.38,17.86
west-covina-ca,8244,4.6,96.57,64.06,136.69,81.27,107.69,278.97,261.55,28.04,228.84,57.66
west-des-moines-ia,803,4.24,17.47,15.16,45.7,6.32,12.32,79.63,76.47,0.0,43.93,9.2
west-jordan-ut,1058,4.17,52.75,1.0,46.75,82.04,69.37,92.57,91.9,13.17,28.14,15.91
west-palm-beach-fl,996,4.11,73.77,15.26,89.95,83.66,42.5,73.69,66.38,40.08,9.34,15.39
west-valley-city-ut,1178,4.12,53.75,1.0,47.75,81.04,79.29,99.57,97.9,13.17,28.14,15.91
westland-mi,4051,4.44,73.34,72.37,91.16,92.7,156.26,219.99,241.55,12.99,222.46,41.07
westminster-ca,6753,4.54,110.37,57.92,112.8,94.69,83.42,269.29,281.15,47.42,203.0,67.3
westminster-co,2616,4.37,22.66,33.23,71.53,74.58,62.79,138.8,158.37,16.55,106.18,30.93
weston-fl,1406,4.11,83.0,43.94,97.6,86.97,28.88,113.34,136.72,57.71,33.19,28.24
weymouth-town-ma,3892,4.33,47.7,45.68,61.91,93.68,81.49,240.89,204.12,28.01,88.02,32.63
wheaton-il,5636,4.48,72.38,73.72,129.25,88.78,99.03,256.48,289.43,34.04,327.04,42.2
white-plains-ny,6190,4.6,91.4,83.69,86.08,67.06,101.95,278.32,260.51,37.85,258.11,19.26
whittier-ca,8655,4.59,92.8,58.74,119.02,76.49,100.8,292.89,288.02,40.05,200.03,56.24
wichita-falls-tx,286,4.46,7.49,0.0,23.01,21.65,4.64,54.57,18.76,2.32,0.0,5.0
wichita-ks,422,4.0,29.9,7.92,68.97,41.04,47.0,79.32,54.94,4.75,5.93,24.4
wilmington-de,2776,4.52,75.2,18.02,78.85,63.02,29.45,224.05,104.76,34.21,97.81,28.41
wilmington-nc,444,3.82,9.56,9.17,39.66,46.23,10.15,64.11,26.75,13.45,12.74,31.56
winston-salem-nc,804,4.22,78.7,31.3,57.16,106.53,64.23,106.25,53.66,17.11,21.2,18.78
woodbury-mn,4460,4.58,57.6,20.33,98.67,59.69,110.92,114.38,174.42,15.97,149.51,33.31
woodland-ca,810,4.07,23.61,16.04,55.24,79.89,28.64,143.61,77.53,20.54,55.77,13.4
worcester-ma,1098,4.08,74.43,0.0,46.89,134.59,61.5,161.36,74.78,26.71,13.12,11.7
wyoming-mi,1738,4.19,72.24,38.8,79.12,77.49,46.0,106.25,75.29,48.41,70.35,20.19
yakima-wa,101,4.26,6.75,1.58,8.85,38.12,21.54,9.92,11.49,0.0,0.0,5.81
yonkers-ny,6435,4.6,77.64,100.61,101.57,56.58,102.78,232.67,255.61,39.26,268.57,24.2
yorba-linda-ca,5179,4.47,101.83,28.41,100.94,78.71,86.95,264.47,187.86,38.57,150.55,54.11
youngstown-oh,1069,4.35,22.49,0.0,22.82,24.17,34.12,80.4,21.29,1.58,0.0,12.53
yuba-city-ca,433,4.12,21.02,0.0,18.32,77.01,40.38,94.55,24.45,17.92,41.5,1.0
yucaipa-ca,1319,4.19,47.2,5.32,62.31,59.84,67.37,98.74,69.45,18.89,145.84,41.96
yuma-az,234,4.06,15.94,0.0,23.91,35.46,21.85,29.55,30.23,3.81,0.0,16.63
